task_id,method,model,success,steps,wrong_tool_count,premature_action_count,avg_tools_per_step,total_tokens
calendar_move_000,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13513
calendar_summarize_001,all_tools,us.amazon.nova-2-lite-v1:0,True,2,1,0,100.0,13482
calendar_invite_002,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13511
calendar_move_003,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13519
calendar_summarize_004,all_tools,us.amazon.nova-2-lite-v1:0,True,2,1,0,100.0,13482
calendar_invite_005,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13511
calendar_move_006,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13510
calendar_summarize_007,all_tools,us.amazon.nova-2-lite-v1:0,True,2,1,0,100.0,13482
calendar_invite_008,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13511
calendar_move_009,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13512
calendar_summarize_010,all_tools,us.amazon.nova-2-lite-v1:0,True,2,1,0,100.0,13482
calendar_invite_011,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13511
calendar_move_012,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13512
calendar_summarize_013,all_tools,us.amazon.nova-2-lite-v1:0,True,2,1,0,100.0,13482
calendar_invite_014,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13511
calendar_move_015,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13513
calendar_summarize_016,all_tools,us.amazon.nova-2-lite-v1:0,True,2,1,0,100.0,13482
calendar_invite_017,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13511
calendar_move_018,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13519
calendar_summarize_019,all_tools,us.amazon.nova-2-lite-v1:0,True,2,1,0,100.0,13482
calendar_invite_020,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13511
calendar_move_021,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13510
calendar_summarize_022,all_tools,us.amazon.nova-2-lite-v1:0,True,2,1,0,100.0,13482
calendar_invite_023,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13511
calendar_move_024,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13512
calendar_summarize_025,all_tools,us.amazon.nova-2-lite-v1:0,True,2,1,0,100.0,13482
calendar_invite_026,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13511
calendar_move_027,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13512
calendar_summarize_028,all_tools,us.amazon.nova-2-lite-v1:0,True,2,1,0,100.0,13482
calendar_invite_029,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13511
calendar_move_030,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13513
calendar_summarize_031,all_tools,us.amazon.nova-2-lite-v1:0,True,2,1,0,100.0,13482
calendar_invite_032,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13511
calendar_move_033,all_tools,us.amazon.nova-2-lite-v1:0,True,2,0,0,100.0,13519
email_draft_000,all_tools,us.amazon.nova-2-lite-v1:0,True,3,1,0,100.0,20298
email_summarize_001,all_tools,us.amazon.nova-2-lite-v1:0,True,3,0,0,100.0,20229
email_deadline_002,all_tools,us.amazon.nova-2-lite-v1:0,True,2,2,0,100.0,13490
email_draft_003,all_tools,us.amazon.nova-2-lite-v1:0,True,2,2,1,100.0,13559
email_summarize_004,all_tools,us.amazon.nova-2-lite-v1:0,True,3,0,0,100.0,20230
email_deadline_005,all_tools,us.amazon.nova-2-lite-v1:0,True,2,2,0,100.0,13497
email_draft_006,all_tools,us.amazon.nova-2-lite-v1:0,True,2,2,1,100.0,13564
email_summarize_007,all_tools,us.amazon.nova-2-lite-v1:0,True,3,0,0,100.0,20245
email_deadline_008,all_tools,us.amazon.nova-2-lite-v1:0,True,2,2,0,100.0,13488
email_draft_009,all_tools,us.amazon.nova-2-lite-v1:0,True,2,2,1,100.0,13588
email_summarize_010,all_tools,us.amazon.nova-2-lite-v1:0,True,3,0,0,100.0,20230
email_deadline_011,all_tools,us.amazon.nova-2-lite-v1:0,True,2,2,0,100.0,13482
email_draft_012,all_tools,us.amazon.nova-2-lite-v1:0,True,2,2,1,100.0,13567
email_summarize_013,all_tools,us.amazon.nova-2-lite-v1:0,True,3,0,0,100.0,20239
email_deadline_014,all_tools,us.amazon.nova-2-lite-v1:0,True,2,1,0,100.0,13488
email_draft_015,all_tools,us.amazon.nova-2-lite-v1:0,True,2,2,1,100.0,13555
email_summarize_016,all_tools,us.amazon.nova-2-lite-v1:0,True,3,0,0,100.0,20229
email_deadline_017,all_tools,us.amazon.nova-2-lite-v1:0,True,2,2,0,100.0,13490
email_draft_018,all_tools,us.amazon.nova-2-lite-v1:0,True,2,2,1,100.0,13559
email_summarize_019,all_tools,us.amazon.nova-2-lite-v1:0,True,3,0,0,100.0,20230
email_deadline_020,all_tools,us.amazon.nova-2-lite-v1:0,True,2,2,0,100.0,13483
email_draft_021,all_tools,us.amazon.nova-2-lite-v1:0,True,2,2,1,100.0,13552
email_summarize_022,all_tools,us.amazon.nova-2-lite-v1:0,True,2,1,0,100.0,13488
